@relation 'churn-weka.filters.unsupervised.attribute.Remove-R1,3-4,10,13,16,19-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R4-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R6-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R7-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R10-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R11-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R12-precision6-weka.filters.unsupervised.attribute.Remove-R1,4-13'

@attribute 'Int\'l Plan' {no,yes}
@attribute 'VMail Plan' {yes,no}
@attribute Churn? {False.,True.}

@data
no,yes,False.
no,yes,False.
no,no,False.
yes,no,False.
yes,no,False.
yes,no,False.
no,yes,False.
yes,no,False.
no,no,False.
yes,yes,False.
no,no,True.
no,no,False.
no,no,False.
no,no,False.
no,no,False.
no,no,True.
no,yes,False.
no,no,False.
no,yes,False.
no,no,False.
no,no,False.
no,no,True.
no,no,False.
no,no,False.
no,no,False.
no,no,False.
no,yes,False.
no,no,False.
no,no,False.
no,no,False.
no,no,False.
no,no,False.
no,no,False.
no,no,True.
no,yes,False.
no,yes,False.
no,yes,False.
no,no,False.
yes,yes,False.
no,no,False.
no,no,False.
yes,yes,True.
no,no,False.
no,no,False.
no,no,False.
no,yes,False.
no,no,False.
no,no,False.
no,no,True.
no,yes,False.
no,no,False.
no,no,False.
no,no,False.
no,no,False.
no,no,True.
no,no,False.
no,no,False.
no,yes,True.
no,no,False.
no,no,False.
no,no,False.
no,yes,False.
no,yes,False.
no,yes,False.
no,no,False.
no,yes,False.
yes,no,False.
yes,no,False.
no,no,False.
no,no,True.
no,no,False.
no,yes,False.
no,no,False.
no,no,False.
no,no,False.
no,no,False.
no,no,True.
no,no,True.
no,no,False.
no,no,False.
no,no,False.
