@relation 'churn1-weka.filters.unsupervised.attribute.Remove-R1,3-4,9-10,12-13,15-16,18-19-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R4-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R6-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R7-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R10-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R8-precision6'

@attribute 'Account Length' {'low','medium','high'}
@attribute 'Int\'l Plan' {no,yes}
@attribute 'VMail Plan' {yes,no}
@attribute 'Day Mins' {'low','medium','high'}
@attribute 'Eve Mins' {'low','medium','high'}
@attribute 'Night Mins' {'low','medium','high'}
@attribute 'Intl Mins' {'low','medium','high'}
@attribute 'CustServ Calls' {'low','high'}
@attribute 'Total Base Calls' {'low','medium','high'}
@attribute 'Total Extra Calls' {'low','medium','high'}
@attribute Churn? {False.,True.}

@data
'medium',no,yes,'high','medium','medium','medium','low','medium','medium',False.
'medium',no,yes,'medium','medium','medium','high','low','medium','medium',False.
'medium',no,no,'high','low','medium','medium','low','medium','low',False.
'medium',yes,no,'high','low','medium','low','low','low','low',False.
'low',yes,no,'medium','medium','medium','medium','low','high','low',False.
'medium',yes,no,'medium','medium','medium','low','low','medium','low',False.
'medium',no,yes,'medium','high','medium','medium','low','medium','medium',False.
'medium',yes,no,'medium','low','medium','medium','low','medium','low',False.
'medium',no,no,'medium','high','medium','medium','low','medium','low',False.
'medium',yes,yes,'high','medium','high','medium','low','medium','high',False.
'low',no,no,'medium','medium','medium','medium','low','medium','low',True.
'low',no,no,'medium','medium','medium','medium','low','high','low',False.
'high',no,no,'medium','low','low','medium','low','medium','low',False.
'medium',no,no,'medium','high','medium','medium','low','medium','low',False.
'low',no,no,'medium','high','medium','medium','low','low','low',False.
'medium',no,no,'high','high','medium','low','low','medium','low',True.
'medium',no,yes,'medium','high','low','high','low','medium','medium',False.
'medium',no,no,'medium','medium','low','medium','low','high','low',False.
'low',no,yes,'medium','medium','medium','medium','low','low','medium',False.
'low',no,no,'medium','medium','medium','medium','low','low','low',False.
