Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,65.0,26.0,0.0,71.42857142857143,28.571428571428573,0.0,0.5641120117907148,0.05395006552730171,0.19766879900739645,47.44163728534322,83.03422951816557,177.85179802597978,165.94206489190697,11.909733134072809,1.9544153629228547,1.8235391746363403,0.13087618828651437,83.08536307637529,0.9130259678722559,46.716065847272766,0.7837837837837838,29.0,0.25925925925925924,14.0,0.7407407407407407,40.0,0.21621621621621623,8.0,0.6744186046511628,0.7837837837837838,0.725,0.5160700958665632,0.8163163163163163,0.6579444905517454,0.7142857142857143,0.1172728261317914,0.8827271738682085,0.2857142857142857,NaN,0.7142857142857143,NaN,NaN,0.8612930142589134,0.6777080271930783,NaN,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,85.71428571428571,15.750915750915778,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,63.0,28.0,0.0,69.23076923076923,30.76923076923077,0.0,0.5492658765257386,0.05673421561610902,0.197901100265215,49.88991306351277,83.13181171654955,177.85179802597978,165.61080627935954,12.240991746620239,1.9544153629228547,1.819898970102852,0.13451639282000263,83.92456948734858,0.9222480163444898,47.18792298916723,0.7027027027027027,26.0,0.2037037037037037,11.0,0.7962962962962963,43.0,0.2972972972972973,11.0,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.498998998998999,0.8258258258258259,0.7068615493722126,0.6923076923076923,0.09698199065627738,0.9030180093437226,0.3076923076923077,0.6996336996336996,0.6923076923076923,0.6938740364113498,0.5958701232174359,0.8678980510695303,0.7110232990951928,0.3729628882613958,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,84.61538461538461,17.399267399267412,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,63.0,28.0,0.0,69.23076923076923,30.76923076923077,0.0,0.5396567299006323,0.056888310255074535,0.20118518566645757,50.23720817854581,84.91582293894454,175.6070054973694,153.16239973808274,22.444605759286674,1.9297473131579057,1.6831032938250852,0.2466440193328206,81.16245491369206,0.891895108941671,46.21823297072728,0.6756756756756757,25.0,0.24074074074074073,13.0,0.7592592592592593,41.0,0.32432432432432434,12.0,0.6578947368421053,0.6756756756756757,0.6666666666666667,0.4332038437474514,0.8533533533533534,0.7651957814538979,0.6923076923076923,0.11008901672376364,0.8899109832762363,0.3076923076923077,NaN,0.6923076923076923,NaN,NaN,0.886107688951152,0.7371828412507206,NaN,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,86.81318681318682,16.025641025641047,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,61.0,30.0,0.0,67.03296703296704,32.967032967032964,0.0,0.5096102029818573,0.05486891010380528,0.19869123429626728,48.45390638349818,83.86318115387535,175.6070054973694,143.38036948863646,32.22663600873295,1.9297473131579057,1.575608455919082,0.35413885723882366,83.66132190848442,0.9193551858075212,47.641221186780996,0.6486486486486487,24.0,0.24074074074074073,13.0,0.7592592592592593,41.0,0.35135135135135137,13.0,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.40790790790790793,0.8403403403403403,0.766493306341924,0.6703296703296703,0.1116838347344503,0.8883161652655496,0.32967032967032966,0.6601859678782757,0.6703296703296703,0.6637362637362637,0.5541909866075444,0.8854608430531823,0.7421555799851802,0.30810810810810807,0.6703296703296703,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,89.01098901098901,15.384615384615406,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,67.0,24.0,0.0,73.62637362637362,26.373626373626372,0.0,0.6032697547683924,0.05008558864968123,0.1839155888814207,44.19275294422864,77.55324235951655,182.8635335924548,176.2258017630079,6.637731829446892,2.009489380136866,1.9365472721209658,0.07294210801589991,91.0345723388789,1.000379915811856,49.78279187241689,0.7297297297297297,27.0,0.2222222222222222,12.0,0.7777777777777778,42.0,0.2702702702702703,10.0,0.6923076923076923,0.7297297297297297,0.7105263157894737,0.5037397678898835,0.8658658658658659,0.7820698448752557,0.7362637362637363,0.09996185919106812,0.9000381408089319,0.26373626373626374,NaN,0.7362637362637363,NaN,NaN,0.8870047694881078,0.7482779626088683,NaN,0.7362637362637363,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,86.81318681318682,16.300366300366324,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,69.0,22.0,0.0,75.82417582417582,24.175824175824175,0.0,0.6324582338902147,0.05095276557766581,0.18536455734265703,44.720781242328485,77.69925087132984,189.39154728906243,174.2242910190353,15.167256270027138,2.0812257943853014,1.9145526485608273,0.16667314582447404,92.70534342250419,1.018740037609936,48.94903956880974,0.8378378378378378,31.0,0.2222222222222222,12.0,0.7777777777777778,42.0,0.16216216216216217,6.0,0.7209302325581395,0.8378378378378378,0.7749999999999999,0.605692956026596,0.8473473473473474,0.7187648485473219,0.7582417582417582,0.0981303573595663,0.9018696426404338,0.24175824175824176,NaN,0.7582417582417582,NaN,NaN,0.8840991451104463,0.717098700148204,NaN,0.7582417582417582,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,86.81318681318682,17.765567765567788,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,61.0,30.0,0.0,67.03296703296704,32.967032967032964,0.0,0.5057929036929761,0.05881569719481696,0.20599915827505097,51.62801179885352,86.3598169857614,187.39154728906243,226.6887487873051,-39.29720149824266,2.0592477724072795,2.4910851515088472,-0.43183737910156766,77.80426891696486,0.854991966120493,41.51962564082318,0.6756756756756757,25.0,0.2962962962962963,16.0,0.7037037037037037,38.0,0.32432432432432434,12.0,0.6097560975609756,0.6756756756756757,0.6410256410256411,0.37453683238691515,0.7822822822822822,0.6107834118975841,0.6703296703296703,0.12954839465995652,0.8704516053400434,0.32967032967032966,NaN,0.6703296703296703,NaN,NaN,0.8413491833515017,0.6608131943130761,NaN,0.6703296703296703,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,82.41758241758242,18.131868131868153,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,67.0,24.0,0.0,73.62637362637362,26.373626373626372,0.0,0.6029812761316126,0.04716622464183152,0.17655083012213757,41.402185444644225,74.01436736782355,187.39154728906243,178.01821924432485,9.373328044737576,2.0592477724072795,1.9562441675200533,0.10300360488722611,98.40410725733508,1.0813638160146712,52.51256456383328,0.8108108108108109,30.0,0.24074074074074073,13.0,0.7592592592592593,41.0,0.1891891891891892,7.0,0.6976744186046512,0.8108108108108109,0.75,0.5608815259465796,0.8798798798798799,0.783543594836633,0.7362637362637363,0.10671567182723368,0.8932843281727663,0.26373626373626374,NaN,0.7362637362637363,NaN,NaN,0.8922329013507772,0.7565979725981181,NaN,0.7362637362637363,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,86.81318681318682,15.567765567765585,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,818.0,90.0,65.0,25.0,0.0,72.22222222222223,27.77777777777778,0.0,0.571101791841403,0.04672235583248374,0.18118650171802217,41.228854709637794,76.40901018426057,174.18128452967085,146.31357413065248,27.867710399018364,1.9353476058852317,1.6257063792294721,0.3096412266557596,91.70534751068837,1.0189483056743152,52.64936916633362,0.7837837837837838,29.0,0.2830188679245283,15.0,0.7169811320754716,38.0,0.21621621621621623,8.0,0.6590909090909091,0.7837837837837838,0.7160493827160493,0.49290978185697526,0.87302396736359,0.8040523572415427,0.7222222222222222,0.12379204466510403,0.8762079553348959,0.2777777777777778,NaN,0.7222222222222222,NaN,NaN,0.9022445455789445,0.7728351813667186,NaN,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211736.0,79968.0,86.66666666666667,14.814814814814836,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,818.0,90.0,68.0,22.0,0.0,75.55555555555556,24.444444444444443,0.0,0.6325167037861915,0.046424338064944455,0.1813737828644486,40.9658771474014,76.48798939567493,174.18128452967085,145.81467865022273,28.366605879448116,1.9353476058852317,1.620163096113586,0.31518450977164575,95.80596596754441,1.0645107329727157,55.00359365602472,0.8108108108108109,30.0,0.16981132075471697,9.0,0.8301886792452831,44.0,0.1891891891891892,7.0,0.7692307692307693,0.8108108108108109,0.7894736842105263,0.6364716872318973,0.88883222845487,0.812950718461311,0.7555555555555555,0.08114292166817473,0.9188570783318254,0.24444444444444444,NaN,0.7555555555555555,NaN,NaN,0.9052071104974592,0.7666134615484653,NaN,0.7555555555555555,0.016,0.0,0.015625,0.0,15.625,0.0,313239.0,211736.0,79968.0,86.66666666666667,14.814814814814842,?,?,?,?
